filter	value	motif	Epithelial	Endothelial	Mesenchymal/stromal	Muscle	Hematopoietic	Neuronal	Glial	Stem/progenitor	Germ line	Trophoblast/placental	Other
cell_phenotype(exact)	pvalue	appearance	5.7628061519105e-07	0.06811979774591437	0.1638558236043287	0.7717285484170473	2.57847685187769e-05	1.0741820931061656e-17	0.11145839268504498	4.855078672951042e-20	0.033651506165036156	0.766217830472917	0.7615979600978589
cell_phenotype(exact)	pvalue	role	2.91297492459138e-15	1.4111571395937806e-10	1.8450521277588334e-07	0.12476738467353503	2.840613655936322e-29	0.7608877341543334	1.782216379581771e-06	2.3806648629529195e-18	0.7650359333532559	0.002484082436606681	0.036110126846928124
cell_phenotype(exact)	pvalue	variant	0.6018431306057421	0.1722527259662699	1.8990799376155946e-05	0.8667054313887954	4.298559587145912e-13	0.001363072437901997	0.06440069205316121	3.784225099767404e-11	0.41775504143320885	0.009786983482924352	0.0039845090029128885
cell_phenotype(exact)	pvalue	molecular signaling	0.6087647970129126	0.04536968754759955	0.00733126490517385	0.13733704011641568	0.011847449116348364	1.4385516590026995e-25	1.0	2.027678261422705e-06	0.5367245630465463	0.6672836127592312	0.8232954073143495
cell_phenotype(exact)	pvalue	molecular signature	8.13645937856724e-22	3.4032619080676006e-13	5.90655829380417e-08	0.00040347697805133875	7.355370674569598e-62	7.53725138550181e-09	0.000269782161466159	9.073587515685234e-19	2.568706272599123e-06	7.977776529775328e-06	1.8211912677575496e-05
cell_phenotype(exact)	pvalue	eponym	0.2904154776798973	0.17699244383022153	0.26900163831990165	1.0	0.0005912885442783714	0.27492573894850864	8.10647614822348e-24	0.7775678712894394	0.1273529807661245	0.750088858218406	0.187760804250803
cell_phenotype(exact)	pvalue	species	0.057910929449907646	1.8779872927517414e-05	0.838631334384506	0.024506204447906358	1.2430462249971532e-06	0.013928992199199623	0.3406820076574042	2.933728959721033e-06	8.410285083424253e-07	1.0	0.727375006041526
cell_phenotype(exact)	pvalue	state	2.4024697659877993e-14	2.4903920117769683e-06	0.00097112130850734	0.12962781811864935	1.0586678543280666e-30	9.509164759244196e-07	0.23016183063530782	1.6838345788377854e-05	0.02733154699967148	0.011526280536810853	0.0023005687051583347
cell_phenotype(exact)	pvalue	disease	0.10845877816443127	0.08324124312006806	0.8145279514868835	1.0	0.12330412134788041	0.5372317147104526	0.27783493895777744	0.372945724886519	0.4326443686182193	0.0062160806619298995	0.6685789748353776
cell_phenotype(exact)	pvalue	stimulus	1.0	1.0	1.0	1.0	0.7293540561836249	0.003982726760561338	1.0	1.0	1.0	1.0	1.0
cell_phenotype(exact)	pvalue	unknown token	0.08159314592418429	0.004036823780481686	0.44906217408361715	0.45002066755091263	0.0010539774678639583	0.05740214504865725	0.2515609787502622	0.019428320255047378	0.45696268371543786	0.601551503661403	0.2809495566964217
filter	value	motif	Epithelial	Endothelial	Mesenchymal/stromal	Muscle	Hematopoietic	Neuronal	Glial	Stem/progenitor	Germ line	Trophoblast/placental	Other
cell_phenotype(exact)	qvalue	root	0.9618686382125806	0.00338833963389377	0.0007635507022383909	0.0767948402091908	0.03941198969640405	0.07654198148463771	0.14744664735928686	0.17802782233554973	0.07584818544703469	0.34346334681112695	0.11520681149294795
cell_phenotype(exact)	qvalue	anatomical	1.4744453316617732e-23	2.312790026654375e-11	6.116294157087534e-08	9.725803114691916e-09	4.602487233798704e-62	0.13040746397796124	1.0	1.0	3.517262736629189e-09	0.5028298453958134	2.1325897560636933e-06
cell_phenotype(exact)	qvalue	lineage	0.00014924323642293252	7.085600515836013e-40	0.4845240641298824	0.00012892091724556312	6.96934918155875e-18	1.2696367371918175e-20	0.45755062716657574	1.532483213582221e-14	0.2910616143907963	0.30723340732745325	0.15500794310804283
cell_phenotype(exact)	qvalue	developmental	2.9064920652186424e-09	2.062630246982985e-15	0.15113862659087945	0.13040746397796124	0.00898871212858143	0.009380641039753848	0.4543235085692541	5.12364401336393e-64	1.837441403221536e-10	0.06566809339657703	0.13718244452605324
cell_phenotype(exact)	qvalue	appearance	4.1341870220227495e-06	0.17291948658578263	0.34810571967443227	1.0	0.00013724150985800607	1.477000378020978e-16	0.25699930375274016	8.287117045209537e-19	0.09856506243605265	1.0	1.0
cell_phenotype(exact)	qvalue	role	3.6048064691818326e-14	1.3433130463440796e-09	1.405078158831727e-06	0.27945635933665086	6.695732188992759e-28	1.0	1.1607856682802324e-05	3.366940306176272e-17	1.0	0.009916296823550863	0.10332088317473655
cell_phenotype(exact)	qvalue	variant	0.9487654447447209	0.3598757425495311	0.0001044493965688577	1.0	4.625623903559188e-12	0.005717973362385495	0.16603303419955623	3.8228396416017653e-10	0.7245910893464228	0.03411659735244756	0.015408843409702186
cell_phenotype(exact)	qvalue	molecular signaling	0.9566303953060056	0.12616851312394256	0.02668364800044894	0.3008045790160432	0.04008315027062709	3.096013353071027e-24	1.0	1.3035074537717388e-05	0.8844994384713484	1.0	1.0
cell_phenotype(exact)	qvalue	molecular signature	1.4384097829967083e-20	3.7435880988743606e-12	4.715719928117845e-07	0.0018665523750973148	2.141710872889383e-60	6.116294157087534e-08	0.0012840593262091222	1.3210075941953502e-17	1.6095058290336277e-05	4.64588162616328e-05	0.00010361950316551575
cell_phenotype(exact)	qvalue	eponym	0.5324283757464784	0.36712647664081915	0.5121377344936588	1.0	0.0026822928051398413	0.5174457824316038	1.605082277348249e-22	1.0	0.28396272738392625	1.0	0.38725665876728116
cell_phenotype(exact)	qvalue	species	0.15167148189261526	0.0001044493965688577	1.0	0.07581607001071029	8.31497136991339e-06	0.04609302664994275	0.6154656707679382	1.7928343642739646e-05	5.782070994854174e-06	1.0	1.0
cell_phenotype(exact)	qvalue	state	2.702778486736274e-13	1.5804410843969224e-05	0.004144009031992528	0.287738878783549	2.6202029394619643e-29	6.447995281953256e-06	0.45755062716657574	9.691838564240741e-05	0.0815758226773403	0.03941198969640405	0.009334274664371933
cell_phenotype(exact)	qvalue	disease	0.2532410150537428	0.2032940992606372	1.0	1.0	0.27743427303273094	0.8844994384713484	0.5189746972984899	0.6664553567466674	0.7384791809173054	0.02296238751981567	1.0
cell_phenotype(exact)	qvalue	stimulus	1.0	1.0	1.0	1.0	1.0	0.015408843409702186	1.0	1.0	1.0	1.0	1.0
cell_phenotype(exact)	qvalue	unknown token	0.20093834444015535	0.015490137762313448	0.7602738240194599	0.7602738240194599	0.0044591354409629	0.15113862659087945	0.4845240641298824	0.06125489507164619	0.7693759470719106	0.9487654447447209	0.5223227906322918
filter	value	motif	Epithelial	Endothelial	Mesenchymal/stromal	Muscle	Hematopoietic	Neuronal	Glial	Stem/progenitor	Germ line	Trophoblast/placental	Other
cell_phenotype(related)	k_count	root	165.16666666666666	75.66666666666666	156.83333333333334	17.5	726.0000000000001	287.3333333333334	56.166666666666686	159.16666666666666	26.5	31.583333333333332	51.08333333333333
cell_phenotype(related)	k_count	anatomical	100.25	40.5	56.58333333333333	9.5	167.00000000000003	151.66666666666669	24.25	98.66666666666667	3.0	11.75	38.83333333333333
cell_phenotype(related)	k_count	lineage	45.33333333333333	62.16666666666667	46.75	4.0	109.33333333333333	22.583333333333332	12.833333333333334	74.16666666666667	4.5	5.333333333333333	13.0
cell_phenotype(related)	k_count	developmental	50.583333333333336	15.5	28.166666666666664	3.5	114.3333333333333	34.5	12.583333333333336	162.99999999999997	20.5	8.333333333333334	12.0
cell_phenotype(related)	k_count	appearance	49.25	7.0	15.75	5.0	117.5	55.0	6.5	16.0	2.0	6.0	12.0
cell_phenotype(related)	k_count	role	7.5	2.0	19.0	1.0	174.16666666666666	59.666666666666664	6.666666666666667	7.0	4.0	0	5.0
cell_phenotype(related)	k_count	variant	11.25	4.0	9.25	2.0	86.16666666666666	34.16666666666667	8.666666666666668	3.5	7.0	2.0	1.0
cell_phenotype(related)	k_count	molecular signaling	12.5	11.5	4.0	0	45.333333333333336	78.83333333333333	2.833333333333333	9.0	0	0.5	3.5
cell_phenotype(related)	k_count	molecular signature	43.166666666666664	13.166666666666666	38.5	0	386.1666666666666	71.16666666666667	9.166666666666666	36.166666666666664	0	4.833333333333334	10.666666666666666
cell_phenotype(related)	k_count	eponym	13.0	2.0	2.0	0	11.5	12.0	6.5	4.5	2.0	0.5	1.0
cell_phenotype(related)	k_count	species	2.0	2.5	2.5	4.0	5.0	2.0	0	3.0	1.0	1.0	1.0
cell_phenotype(related)	k_count	state	5.666666666666666	7.5	18.0	0.5	200.16666666666666	17.666666666666668	4.666666666666666	15.5	1.0	2.0	3.333333333333333
cell_phenotype(related)	k_count	disease	17.833333333333336	4.0	25.833333333333336	0	92.66666666666667	2.8333333333333335	4.333333333333333	13.0	1.0	2.0	2.5
cell_phenotype(related)	k_count	stimulus	0	0	1.0	0	1.0	11.0	0	0	0	0	0
cell_phenotype(related)	k_count	unknown token	17.5	3.0	2.0	1.0	58.833333333333336	26.833333333333336	7.333333333333333	10.166666666666666	0	3.3333333333333335	1.0
filter	value	motif	Epithelial	Endothelial	Mesenchymal/stromal	Muscle	Hematopoietic	Neuronal	Glial	Stem/progenitor	Germ line	Trophoblast/placental	Other
cell_phenotype(related)	rate	root	0.3052988293284042	0.30206254158349966	0.36800938599921784	0.3645833333333333	0.3163168978287706	0.3313154607475738	0.3456410256410258	0.25972259994560787	0.36551724137931035	0.3989473684210526	0.327632282202031
cell_phenotype(related)	rate	anatomical	0.18530499075785584	0.16167664670658685	0.13277278060226827	0.19791666666666666	0.07276160046474475	0.1748822907658307	0.14923076923076922	0.16100081588251294	0.041379310344827586	0.14842105263157893	0.2490646712987707
cell_phenotype(related)	rate	lineage	0.08379544054220578	0.24817032601463743	0.10969886585842784	0.08333333333333333	0.047636337230411725	0.026040165273373685	0.07897435897435898	0.12102257274952409	0.06206896551724138	0.06736842105263158	0.08337787279529664
cell_phenotype(related)	rate	developmental	0.09349969192852742	0.061876247504990024	0.06609307782557684	0.07291666666666667	0.0498148282622903	0.03978091669068896	0.07743589743589745	0.26597769921131353	0.2827586206896552	0.10526315789473685	0.07696419027258151
cell_phenotype(related)	rate	appearance	0.09103512014787431	0.02794411177644711	0.03695737192021901	0.10416666666666667	0.05119453924914675	0.06341885269530123	0.04	0.026108240413380477	0.027586206896551724	0.07578947368421052	0.07696419027258151
cell_phenotype(related)	rate	role	0.013863216266173753	0.007984031936127746	0.04458349628470864	0.020833333333333332	0.07588410427710404	0.06879984625732678	0.041025641025641026	0.011422355180853959	0.05517241379310345	0.0	0.03206841261357563
cell_phenotype(related)	rate	variant	0.020794824399260628	0.01596806387225549	0.021705123191239732	0.041666666666666664	0.037542662116040945	0.03939656000768713	0.053333333333333344	0.0057111775904269795	0.09655172413793103	0.02526315789473684	0.006413682522715126
cell_phenotype(related)	rate	molecular signaling	0.02310536044362292	0.04590818363273454	0.009385999217833398	0.0	0.01975165202236584	0.09090035552993175	0.017435897435897435	0.014685885232526518	0.0	0.00631578947368421	0.02244788882950294
cell_phenotype(related)	rate	molecular signature	0.07979051139864449	0.05256154357950765	0.09034024247164646	0.0	0.16825212402875603	0.08206015182088978	0.056410256410256404	0.05901550176774545	0.0	0.06105263157894737	0.068412613575628
cell_phenotype(related)	rate	eponym	0.024029574861367836	0.007984031936127746	0.004692999608916699	0.0	0.0050105293733207455	0.013836840588065722	0.04	0.007342942616263259	0.027586206896551724	0.00631578947368421	0.006413682522715126
cell_phenotype(related)	rate	species	0.0036968576709796672	0.009980039920159682	0.0058662495111458735	0.08333333333333333	0.002178491031878585	0.002306140098010954	0.0	0.00489529507750884	0.013793103448275862	0.01263157894736842	0.006413682522715126
cell_phenotype(related)	rate	state	0.010474430067775722	0.029940119760479045	0.04223699648025029	0.010416666666666666	0.08721225764287269	0.020370904199096762	0.028717948717948714	0.025292357900462338	0.013793103448275862	0.02526315789473684	0.02137894174238375
cell_phenotype(related)	rate	disease	0.03296364756623537	0.01596806387225549	0.06061791161517403	0.0	0.04037470045748311	0.003267031805515518	0.026666666666666665	0.021212945335871636	0.013793103448275862	0.02526315789473684	0.016034206306787816
cell_phenotype(related)	rate	stimulus	0.0	0.0	0.0023464998044583495	0.0	0.000435698206375717	0.012683770539060247	0.0	0.0	0.0	0.0	0.0
cell_phenotype(related)	rate	unknown token	0.03234750462107209	0.011976047904191617	0.004692999608916699	0.020833333333333332	0.02563357780843802	0.030940712981646967	0.045128205128205125	0.016589611096002176	0.0	0.042105263157894736	0.006413682522715126
filter	value	motif	Epithelial	Endothelial	Mesenchymal/stromal	Muscle	Hematopoietic	Neuronal	Glial	Stem/progenitor	Germ line	Trophoblast/placental	Other
cell_phenotype(related)	comp_rate	root	0.35069678039404134	0.28638941398865786	0.4340437788018433	0.43333333333333335	0.33821919949968726	0.3861886125489206	0.4166666666666666	0.32854209445585214	0.4298642533936652	0.405	0.42857142857142855
cell_phenotype(related)	comp_rate	anatomical	0.23382988947621336	0.2570888468809074	0.2324308755760369	0.3047619047619048	0.0602720450281426	0.16096452468122716	0.13999999999999999	0.1457905544147844	0.01809954751131222	0.1725	0.2857142857142857
cell_phenotype(related)	comp_rate	lineage	0.12311388755406054	0.3005671077504726	0.10627880184331798	0.01904761904761905	0.055737961225766124	0.026638050751167795	0.11666666666666665	0.175564681724846	0.12217194570135746	0.125	0.05291005291005291
cell_phenotype(related)	comp_rate	developmental	0.037866410379625175	0.001890359168241966	0.0538594470046083	0.0380952380952381	0.062343652282676694	0.05264486807221312	0.05333333333333332	0.2535934291581109	0.2171945701357466	0.1225	0.037037037037037035
cell_phenotype(related)	comp_rate	appearance	0.09130225852955308	0.04064272211720227	0.07402073732718893	0.05238095238095238	0.04569262038774234	0.12397424567605103	0.03533333333333333	0.00513347022587269	0.027149321266968326	0.065	0.05291005291005291
cell_phenotype(related)	comp_rate	role	0.01672272945699183	0.003780718336483932	0.012096774193548388	0.02857142857142857	0.09697467166979364	0.055674788536800926	0.0	0.004106776180698152	0.058823529411764705	0.01	0.08994708994708994
cell_phenotype(related)	comp_rate	variant	0.04757328207592503	0.03213610586011342	0.012096774193548388	0.0380952380952381	0.0697310819262039	0.027143037495265754	0.019333333333333334	0.008213552361396304	0.03167420814479638	0.0075	0.005291005291005291
cell_phenotype(related)	comp_rate	molecular signaling	0.025660740028832292	0.013232514177693762	0.010368663594470046	0.009523809523809525	0.021693245778611637	0.08673147329882593	0.023999999999999997	0.006160164271047228	0.01809954751131222	0.0225	0.021164021164021163
cell_phenotype(related)	comp_rate	molecular signature	0.014127823161941373	0.001890359168241966	0.013824884792626729	0.009523809523809525	0.12906504065040653	0.025628077262971852	0.01333333333333333	0.006160164271047228	0.0	0.0	0.0
cell_phenotype(related)	comp_rate	eponym	0.016146083613647284	0.005671077504725898	0.0069124423963133645	0.009523809523809525	0.007426516572858038	0.016412069183183945	0.13466666666666666	0.011293634496919919	0.0	0.015	0.0
cell_phenotype(related)	comp_rate	species	0.005766458433445459	0.034026465028355386	0.008640552995391706	0.02857142857142857	0.003830519074421514	0.00403989395278374	0.01733333333333333	0.028747433264887063	0.058823529411764705	0.01	0.010582010582010581
cell_phenotype(related)	comp_rate	state	0.007208073041806823	0.003780718336483932	0.012096774193548388	0.014285714285714285	0.07188086303939965	0.012877161974498176	0.019999999999999997	0.012320328542094456	0.00904977375565611	0.005	0.0
cell_phenotype(related)	comp_rate	disease	0.004324843825084094	0.015122873345935728	0.008640552995391706	0.004761904761904762	0.010201688555347093	0.005681100871102135	0.0	0.00513347022587269	0.0	0.0275	0.010582010582010581
cell_phenotype(related)	comp_rate	stimulus	0.0	0.0	0.0	0.0	0.00023452157598499067	0.0030299204645878055	0.0	0.0	0.0	0.0	0.0
cell_phenotype(related)	comp_rate	unknown token	0.025660740028832292	0.003780718336483932	0.0146889400921659	0.009523809523809525	0.026696372732958107	0.012372175230400205	0.00933333333333333	0.009240246406570842	0.00904977375565611	0.0125	0.005291005291005291
filter	value	motif	Epithelial	Endothelial	Mesenchymal/stromal	Muscle	Hematopoietic	Neuronal	Glial	Stem/progenitor	Germ line	Trophoblast/placental	Other
cell_phenotype(related)	pvalue	root	0.02719850060126475	0.5296203378346916	0.006191790751639207	0.46804878383743986	0.027356740534219173	0.0008062019769802305	0.06732802282277489	0.00021414112689020716	0.28404985313722175	1.0	0.011903480989458955
cell_phenotype(related)	pvalue	anatomical	0.0070256898431485856	0.00028155379182258215	3.89099886723648e-07	0.16079942733597838	0.013967583833315984	0.24809025382049504	0.7343876420826816	0.2766551467895132	0.1421342429858319	0.7657418870480237	0.375393380034679
cell_phenotype(related)	pvalue	lineage	0.003896443322791727	0.07294016698376304	0.7533951343352737	0.013162139486243033	0.09205064329099813	1.0	0.1772590462972844	0.00024021349895514827	0.10294335105303695	0.12327304948863059	0.10359708281748196
cell_phenotype(related)	pvalue	developmental	5.020999427680254e-09	1.1950494572845207e-19	0.28173774767438775	0.10956813813633229	0.010823550286206225	0.079970628419481	0.1570257097632947	0.4863251725007486	0.2515101557011437	0.7308182706597606	0.016531541662439066
cell_phenotype(related)	pvalue	appearance	1.0	0.42062318253866054	0.0028760098379834054	0.10527978601478115	0.19342015975059468	6.2829307044325815e-09	0.8303754903821681	2.0457371587408185e-07	0.7230695601401191	0.6455452765582486	0.20547089523041348
