Iteration	Fold	Weighted accuracy	Unweighted accuracy
0	0	0.8544152744630071	0.8526315789473684
0	1	0.7534693877551021	0.8677248677248677
0	2	0.8687727825030377	0.8526315789473684
0	3	0.8792270531400966	0.8770053475935828
0	4	0.8053763440860215	0.8571428571428571
0	5	0.8002136752136753	0.7967914438502673
0	6	0.8129722921914357	0.8594594594594595
0	7	0.8455730954015099	0.8457446808510638
0	8	0.8587819947043248	0.8186813186813187
0	9	0.8285181733457595	0.8773006134969326
1	0	0.8133198789101918	0.8631578947368421
1	1	0.5503062117235346	0.8415300546448088
1	2	0.6816479400749064	0.8412698412698413
1	3	0.8536009445100354	0.8783068783068783
1	4	0.9698097601323408	0.8279569892473119
1	5	0.9121338912133892	0.8674033149171271
1	6	0.895959595959596	0.8776595744680851
1	7	0.7992307692307692	0.8457446808510638
1	8	0.9417535254445125	0.88268156424581
1	9	0.7948571428571428	0.7941176470588235
2	0	0.8764940239043825	0.8804347826086957
2	1	0.8597464342313788	0.9021739130434783
2	2	0.8072502210433244	0.8670212765957447
2	3	0.8960205391527599	0.8722222222222222
2	4	0.7321772639691715	0.8148148148148148
2	5	0.7382230172927847	0.824468085106383
2	6	0.7709844559585493	0.8031914893617021
2	7	0.8609904430929627	0.8609625668449198
2	8	0.892136681762042	0.851063829787234
2	9	0.8828193832599119	0.8682634730538922
3	0	0.6524633821571239	0.7967914438502673
3	1	0.74079874706343	0.8518518518518519
3	2	0.7918340026773761	0.8473684210526315
3	3	0.8994668697638994	0.8157894736842105
3	4	0.9171597633136095	0.8626373626373627
3	5	0.8351012536162006	0.824468085106383
3	6	0.9222520107238605	0.8972972972972973
3	7	0.8753229974160207	0.8877005347593583
3	8	0.9507972665148063	0.8693181818181818
3	9	0.675764192139738	0.9230769230769231
4	0	0.7429305912596401	0.8421052631578947
4	1	0.8418657565415245	0.8578947368421053
4	2	0.9309727471653073	0.8148148148148148
4	3	0.8830823737821081	0.8716577540106952
4	4	0.8858603066439523	0.8571428571428571
4	5	0.8701570680628272	0.8829787234042553
4	6	0.8640533778148457	0.8370786516853933
4	7	0.8410094637223975	0.8670212765957447
4	8	0.5659630606860159	0.8666666666666667
4	9	0.855072463768116	0.8780487804878049

tokseq	label	cv_label	cv_count	corpus_count	cv_predicted[0]	cv_predicted[1]
('unpassage',)	None	None	0	0	0	0
('culture',)	None	None	0	0	0	0
('unpassage', 'culture')	None	None	0	0	0	0
('primary',)	developmental	developmental	5	16	5	0
('neural',)	anatomical	role	5	39	0	5
('derive',)	developmental	developmental	5	10	5	0
('neural', 'crest')	lineage	lineage	5	13	5	0
('neuronal',)	lineage	role	5	28	0	5
('receptor',)	role	role	5	20	5	0
('early',)	developmental	developmental	5	15	5	0
('embryonic',)	developmental	developmental	5	33	5	0
('metazoa',)	None	None	0	0	0	0
('migratory',)	state	state	5	8	5	0
('cranial',)	anatomical	None	0	0	0	0
('trunk',)	anatomical	anatomical	5	2	5	0
('germ',)	lineage	developmental	5	27	0	5
('stem',)	developmental	anatomical	5	350	0	5
('germ', 'line')	anatomical	None	0	0	0	0
('germline',)	None	None	0	4	0	0
('male',)	species	species	5	5	5	0
('spermatogonial',)	role	root	5	9	0	5
('female',)	species	species	5	6	5	0
('oogonial',)	lineage	root	5	3	0	5
('mature',)	developmental	developmental	5	42	5	0
('invertebrate',)	None	None	0	0	0	0
('nurse',)	None	None	0	1	0	0
('invertebrate', 'nurse')	None	None	0	0	0	0
('smooth', 'muscle')	anatomical	lineage	5	30	0	5
('CNS',)	anatomical	None	0	0	0	0
('neuroplacodal',)	None	None	0	0	0	0
('placode',)	None	None	0	0	0	0
('apocrine',)	None	None	0	1	0	0
('animal',)	None	None	0	0	0	0
('unipotent',)	developmental	developmental	5	3	5	0
('unipotential',)	None	None	0	0	0	0
('single',)	state	None	0	0	0	0
('fate',)	None	None	0	0	0	0
('epithelial',)	lineage	lineage	5	228	5	0
('blood',)	anatomical	anatomical	5	69	5	0
('form',)	developmental	state	3	3	0	5
('hemopoietic',)	lineage	lineage	5	1	5	0
('hematopoietic',)	lineage	lineage	5	34	5	0
('erythroid',)	lineage	lineage	5	16	5	0
('progenitor',)	developmental	developmental	5	382	5	0
('neutrophilic',)	lineage	lineage	5	2	5	0
('NSC',)	None	None	0	0	0	0
('multipotent',)	developmental	developmental	5	28	5	0
('multifate',)	None	None	0	0	0	0
('multi-fate',)	None	None	0	0	0	0
('multi',)	None	None	0	0	0	0
('multi', 'fate')	None	None	0	0	0	0
('common',)	variant	variant	5	18	5	0
('myeloid',)	lineage	lineage	5	70	5	0
('precursor',)	developmental	developmental	5	74	5	0
('CFU-EM',)	None	None	0	0	0	0
('CFU-MegE',)	None	None	0	0	0	0
('mep',)	None	None	0	1	0	0
('megakaryocyte/erythrocyte',)	None	None	0	0	0	0
('Meg/E',)	None	None	0	0	0	0
('unit',)	None	None	0	3	0	0
('colony', 'form')	appearance	appearance	5	3	5	0
('megakaryocyte/erythroid',)	None	None	0	0	0	0
('megakaryocyte-erythroid',)	None	None	0	4	0	0
('lymphoid',)	lineage	lineage	3	27	3	2
('totipotential',)	None	None	0	0	0	0
('totipotent',)	developmental	developmental	5	1	5	0
('bone',)	anatomical	anatomical	5	34	5	0
('matrix',)	anatomical	appearance	5	3	0	5
('secreting',)	None	None	0	4	0	0
('non-terminally',)	None	None	0	0	0	0
('differentiate',)	developmental	developmental	5	16	5	0
('enamel',)	anatomical	None	0	0	0	0
('secrete',)	role	role	5	4	5	0
('cementum',)	anatomical	None	0	0	0	0
('ciliate',)	appearance	appearance	5	17	5	0
('ependymal',)	anatomical	anatomical	3	8	3	2
('ciliated',)	None	None	0	9	0	0
('duct',)	anatomical	anatomical	5	9	5	0
('branch',)	None	None	0	0	0	0
('vessel',)	anatomical	anatomical	5	7	5	0
('endothelial',)	lineage	lineage	5	225	5	0
('non-branched',)	None	None	0	0	0	0
('columnar/cuboidal',)	None	None	0	0	0	0
('squamous',)	lineage	disease	5	6	0	5
('mesothelial',)	lineage	lineage	5	9	5	0
('peridermal',)	anatomical	None	0	0	0	0
('stratify',)	None	None	0	0	0	0
('circulate',)	anatomical	anatomical	5	28	5	0
('lung',)	anatomical	anatomical	5	42	5	0
('pancrea',)	anatomical	anatomical	5	5	5	0
('pancreas',)	None	None	0	2	0	0
('pancreatic',)	anatomical	anatomical	5	33	5	0
('hepatic',)	anatomical	anatomical	5	16	5	0
('liver',)	anatomical	anatomical	5	29	5	0
('von',)	eponym	None	0	0	0	0
('kupffer',)	eponym	root	4	2	1	4
('littoral',)	anatomical	None	0	0	0	0
('sinusoid',)	appearance	appearance	5	1	5	0
('stellate',)	appearance	appearance	3	14	3	2
('stellatus',)	None	None	0	0	0	0
('granular',)	appearance	appearance	5	1	5	0
('polymorphonuclear',)	appearance	appearance	4	11	4	1
('associate',)	role	role	5	17	5	0
('polynuclear',)	None	None	0	0	0	0
('PMN',)	None	None	0	2	0	0
('mast',)	appearance	molecular signaling	3	26	0	5
('sensory',)	role	role	5	21	5	0
('polymodal',)	None	None	0	0	0	0
('bipolar',)	appearance	appearance	5	24	5	0
('multipolar',)	None	None	0	0	0	0
('pseudounipolar',)	None	None	0	0	0	0
('unipolar',)	None	None	0	4	0	0
('autonomic',)	anatomical	None	0	0	0	0
('cholinergic',)	molecular signaling	molecular signaling	5	9	5	0
('adrenergic',)	molecular signaling	molecular signaling	5	6	5	0
('peptidergic',)	molecular signaling	molecular signaling	5	4	5	0
('columnar',)	appearance	appearance	5	5	5	0
('mononuclear',)	appearance	root	5	31	0	5
('surface',)	anatomical	anatomical	5	7	5	0
('ectoderm',)	lineage	lineage	5	6	5	0
('ectodermal',)	lineage	lineage	5	1	5	0
('pioneer',)	None	None	0	0	0	0
('basket',)	appearance	appearance	5	4	5	0
('golgi',)	appearance	appearance	5	2	5	0
('cerebellar',)	anatomical	anatomical	5	8	5	0
('cerebellum',)	anatomical	anatomical	5	1	5	0
('granule',)	appearance	appearance	5	13	5	0
('purkinje',)	eponym	appearance	5	7	0	5
('glial',)	lineage	lineage	5	31	5	0
('neuroglial',)	lineage	lineage	5	1	5	0
('macroglial',)	None	None	0	0	0	0
('astrocytic',)	lineage	lineage	4	2	4	1
('OLs',)	None	None	0	0	0	0
('microglial',)	lineage	root	5	8	0	5
('hortega',)	None	None	0	0	0	0
('brain-resident',)	None	None	0	0	0	0
('gut',)	anatomical	anatomical	5	2	5	0
('corneal',)	anatomical	anatomical	5	15	5	0
('neurectoderm',)	lineage	None	0	0	0	0
('neurectodermal',)	lineage	None	0	0	0	0
('mesenchymal',)	lineage	lineage	5	122	5	0
('fat',)	anatomical	molecular signaling	5	6	0	5
('adipose',)	anatomical	anatomical	5	31	5	0
('cartilage',)	anatomical	anatomical	5	1	5	0
('guidepost',)	None	None	0	0	0	0
('professional',)	None	None	0	3	0	0
('antigen',)	None	None	0	6	0	0
('presenting',)	None	None	0	0	0	0
('professional', 'antigen')	None	None	0	0	0	0
('antigen', 'presenting')	None	None	0	7	0	0
